gas_price,value,gas_limit,data_size,nonce_conflict,nonce_gap,gas_differential,gas_volatility,submission_frequency,arrival_interval,balance_adequacy,recipient_similarity,is_rbf,attack_type
22000000000,10349006192093813,120839,30,0,0,0,1.0,1,10.0,1,-1,0,0
21000000000,71069342888979078,126931,69,0,1,0,1.0,2,10.0,1,-1,0,0
23000000000,143591362865682860,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
18000000000,8670204072175247,112390,46,0,0,0,1.0,1,10.0,1,-1,0,0
29000000000,78247526347730400,82712,78,0,0,0,1.0,1,10.0,1,-1,0,0
25000000000,7299890689230948,72778,4,0,0,0,1.0,1,10.0,1,-1,0,0
18000000000,477799905078178700,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
27000000000,21127224697496983,87864,116,0,0,0,1.0,1,10.0,1,-1,0,0
23000000000,11926827331021273,67583,100,0,0,0,1.0,1,10.0,1,-1,0,0
25000000000,410077891003017700,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
14000000000,167737778237268930,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
12000000000,372817454847938400,21000,0,0,0,0,1.0,2,10.0,1,-1,0,0
23000000000,27054999138027249,57395,38,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
24000000000,1687545160351790100,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
40000000000,1687545160351790100,21000,0,1,0,16000000000,1.6666666665972223,2,1.5,1,0,0,1
20000000000,183949293281407500,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
28000000000,2648024343423987400,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
32000000000,2648024343423987400,21000,0,1,0,4000000000,1.1428571428163266,2,0.05,1,0,0,2
14000000000,158434517438492600,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
14000000000,140176627462505920,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
39000000000,41808992298459885,124187,64,0,0,0,1.0,1,10.0,1,-1,0,0
12000000000,429089950943515760,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
19000000000,93605504271767961,137579,122,0,0,0,1.0,1,10.0,1,-1,0,0
40000000000,53013288062212116,115353,61,0,0,0,1.0,1,10.0,1,-1,0,0
17000000000,190369300936879540,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
29000000000,2687694573912531000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
33000000000,2687694573912531000,21000,0,1,0,4000000000,1.1379310344435196,2,0.05,1,0,0,2
33000000000,49654170213723009,55531,113,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,2267849291614228300,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
12000000000,2267849291614228300,21000,0,1,0,2000000000,1.19999999988,2,0.05,1,0,0,2
17000000000,399152575183218000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
35000000000,2878627056715985000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
41000000000,2878627056715985000,21000,0,1,0,6000000000,1.171428571395102,2,0.05,1,0,0,2
15000000000,291967307888849060,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
21000000000,94695816845667649,62346,39,0,0,0,1.0,1,10.0,1,-1,0,0
11000000000,273304374736247470,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
16000000000,1639619785240681500,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
26000000000,1639619785240681500,21000,0,1,0,10000000000,1.6249999998984377,2,1.5,1,0,0,1
10000000000,0,121000,0,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,121000,0,0,1,0,1.0,2,10.0,1,-1,0,0
10000000000,0,121000,0,0,2,0,1.0,3,10.0,1,-1,0,0
10000000000,0,121000,0,0,3,0,1.0,4,10.0,1,-1,0,0
10000000000,0,121000,0,0,4,0,1.0,5,10.0,1,-1,0,0
10000000000,0,121000,0,0,5,0,1.0,6,10.0,1,-1,0,0
10000000000,0,121000,0,0,6,0,1.0,7,10.0,1,-1,0,0
10000000000,0,121000,0,0,7,0,1.0,8,10.0,1,-1,0,3
10000000000,0,121000,0,0,8,0,1.0,9,10.0,1,-1,0,3
10000000000,0,121000,0,0,9,0,1.0,10,10.0,1,-1,0,3
10000000000,0,121000,0,0,10,0,1.0,11,10.0,1,-1,0,3
10000000000,0,121000,0,0,11,0,1.0,12,10.0,1,-1,0,3
10000000000,0,121000,0,0,12,0,1.0,13,10.0,1,-1,0,3
10000000000,0,121000,0,0,13,0,1.0,14,10.0,1,-1,0,3
47000000000,5000000000000000000,121000,0,0,14,0,1.0,15,10.0,1,-1,0,3
58000000000,5000000000000000000,121000,0,1,0,11000000000,1.234042553165233,16,0.05,1,0,0,4
23000000000,84893207345040259,110319,13,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,121000,0,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,121000,0,0,1,0,1.0,2,10.0,1,-1,0,0
10000000000,0,121000,0,0,2,0,1.0,3,10.0,1,-1,0,0
10000000000,0,121000,0,0,3,0,1.0,4,10.0,1,-1,0,0
10000000000,0,121000,0,0,4,0,1.0,5,10.0,1,-1,0,0
10000000000,0,121000,0,0,5,0,1.0,6,10.0,1,-1,0,0
10000000000,0,121000,0,0,6,0,1.0,7,10.0,1,-1,0,0
10000000000,0,121000,0,0,7,0,1.0,8,10.0,1,-1,0,3
10000000000,0,121000,0,0,8,0,1.0,9,10.0,1,-1,0,3
10000000000,0,121000,0,0,9,0,1.0,10,10.0,1,-1,0,3
10000000000,0,121000,0,0,10,0,1.0,11,10.0,1,-1,0,3
10000000000,0,121000,0,0,11,0,1.0,12,10.0,1,-1,0,3
10000000000,0,121000,0,0,12,0,1.0,13,10.0,1,-1,0,3
54000000000,5000000000000000000,121000,0,0,13,0,1.0,14,10.0,1,-1,0,3
67000000000,5000000000000000000,121000,0,1,0,13000000000,1.240740740717764,15,0.05,1,0,0,4
20000000000,462284010783526430,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
12000000000,208152443948190880,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
37000000000,6632147607379468,149715,12,0,0,0,1.0,1,10.0,1,-1,0,0
12000000000,203164083195148000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
24000000000,2573284511931042600,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
27000000000,2573284511931042600,21000,0,1,0,3000000000,1.124999999953125,2,0.05,1,0,0,2
31000000000,4701296125886544,63782,93,0,0,0,1.0,1,10.0,1,-1,0,0
14000000000,162128299007597540,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
20000000000,128873302270431870,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
20000000000,285175047372915770,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
45000000000,2088136774962471500,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
77000000000,2088136774962471500,21000,0,1,0,32000000000,1.7111111110730863,2,1.5,1,0,0,1
28000000000,5919439401965698,104764,128,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
43000000000,2272677559280354300,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
