gas_price,value,gas_limit,data_size,nonce_conflict,nonce_gap,gas_differential,gas_volatility,submission_frequency,arrival_interval,balance_adequacy,recipient_similarity,is_rbf,attack_type
16000000000,10000000000000000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
21000000000,10000000000000000,21000,0,0,1,0,1.0,2,10.0,1,-1,0,0
30000000000,10000000000000000,21000,0,0,2,0,1.0,3,10.0,1,-1,0,0
30000000000,10000000000000000,21000,0,0,3,0,1.0,4,10.0,1,-1,0,0
28000000000,10000000000000000,21000,0,0,4,0,1.0,5,10.0,1,-1,0,0
19000000000,10000000000000000,21000,0,0,5,0,1.0,6,10.0,1,-1,0,0
21000000000,10000000000000000,21000,0,0,6,0,1.0,7,10.0,1,-1,0,0
20000000000,10000000000000000,21000,0,0,7,0,1.0,8,10.0,1,-1,0,3
37000000000,1655301694018933300,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
42000000000,1655301694018933300,21000,0,1,0,5000000000,1.1351351351044559,2,0.05,1,0,0,2
22000000000,125116390303445480,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
26000000000,76731546629058678,59767,86,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,348361455577264500,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
21000000000,496080929646702600,21000,0,0,1,0,1.0,2,10.0,1,-1,0,0
18000000000,81647392711292982,137017,107,0,0,0,1.0,1,10.0,1,-1,0,0
22000000000,345015055044712860,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
37000000000,24356206141682147,126738,67,0,0,0,1.0,1,10.0,1,-1,0,0
17000000000,75589768890913067,86883,47,0,0,0,1.0,1,10.0,1,-1,0,0
14000000000,461959825163626660,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
19000000000,220166621460728400,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
29000000000,1546701593866905000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
48000000000,1546701593866905000,21000,0,1,0,19000000000,1.6551724137360286,2,1.5,1,0,0,1
46000000000,1584320054565627700,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
69000000000,1584320054565627700,21000,0,1,0,23000000000,1.4999999999673912,2,1.5,1,0,0,1
31000000000,99710162006457090,56810,39,0,0,0,1.0,1,10.0,1,-1,0,0
37000000000,98004156671988973,66994,117,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,121000,0,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,121000,0,0,1,0,1.0,2,10.0,1,-1,0,0
10000000000,0,121000,0,0,2,0,1.0,3,10.0,1,-1,0,0
10000000000,0,121000,0,0,3,0,1.0,4,10.0,1,-1,0,0
