gas_price,value,gas_limit,data_size,nonce_conflict,nonce_gap,gas_differential,gas_volatility,submission_frequency,arrival_interval,balance_adequacy,recipient_similarity,attack_type
25000000000,49388007990967625,103129,98,0,0,0,0.990165530714855,1,10.074507122951685,1,-1,0
31000000000,51368451806044560,107305,124,0,0,0,0.9974377580976506,1,9.979260354824323,1,-1,0
33000000000,28323814055030039,112425,31,0,0,0,0.9973154523213212,1,10.097153280715103,1,-1,0
14000000000,407929310043820940,21000,0,0,1,0,1.021912086744575,2,10.228454478461204,1,-1,0
37000000000,53159605697192538,64508,123,0,0,0,1.0386638844303528,1,9.9648769937915,1,-1,0
23000000000,458660552910191140,21000,0,0,0,0,1.0031969483917738,1,9.964879456457624,1,-1,0
39000000000,63749434619069192,91799,35,0,1,0,0.9968599466308616,2,10.23688192232611,1,-1,0
23000000000,185374727528815700,21000,0,0,0,0,0.9775308598568118,1,10.115115209372936,1,-1,0
32000000000,64121513094341600,107969,124,0,0,0,0.9711282310117447,1,9.929578842109757,1,-1,0
23000000000,40323753368797677,107533,81,0,1,0,0.964520501407118,2,10.081384006537895,1,-1,0
10000000000,0,121000,0,0,0,0,0.9840831008095307,1,9.93048734607813,1,-1,0
10000000000,0,121000,0,0,1,0,0.9581829040537377,2,9.930140536964462,1,-1,0
10000000000,0,121000,0,0,0,0,1.0215765990748022,1,10.036294340734905,1,-1,0
10000000000,0,121000,0,0,1,0,1.0084619248798685,2,9.71300796330133,1,-1,0
10000000000,0,121000,0,0,2,0,0.9949671897063044,3,9.741262325123046,1,-1,0
10000000000,0,121000,0,0,3,0,1.0221876796152158,4,9.915656870613853,1,-1,0
10000000000,0,121000,0,0,4,0,0.9785768784519345,5,9.848075331949836,1,-1,3
10000000000,0,121000,0,0,5,0,0.9836003788927089,6,10.04713709988929,1,-1,3
10000000000,0,121000,0,0,6,0,0.9613241343939651,7,9.863796388671819,1,-1,3
10000000000,0,121000,0,0,7,0,1.0154870739004043,8,9.788154444799707,1,-1,3
